Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,Ward,FBI Code,X Coordinate,Y Coordinate,Year,Latitude,Longitude,Location,Historical Wards 2003-2015,Zip Codes,Community Areas,Census Tracts,Wards,Boundaries - ZIP Codes,Police Districts,Police Beats
HT291358,5/11/2011 20:15,008XX N STATE ST,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,CTA PLATFORM,TRUE,FALSE,1832,42,11,1176223,1905805,2011,41.89688859,-87.62820319,"(41.896888586, -87.628203192)",22,21182,37,104,36,6,14,71
HT292133,5/12/2011 12:54,046XX N BROADWAY,560,ASSAULT,SIMPLE,CTA PLATFORM,TRUE,FALSE,2311,46,08A,1167942,1930944,2011,41.966054,-87.6578904,"(41.966053999, -87.657890403)",37,22616,31,241,39,15,5,4
HT292532,5/12/2011 16:45,016XX W HOWARD ST,1350,CRIMINAL TRESPASS,TO STATE SUP LAND,CTA PLATFORM,TRUE,FALSE,2422,49,26,1163750,1950346,2011,42.0193833,-87.67275327,"(42.019383301, -87.67275327)",3,21853,10,489,5,9,11,32
HT292666,5/12/2011 17:26,001XX W 35TH ST,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,CTA PLATFORM,TRUE,FALSE,924,11,11,1175739,1881773,2011,41.83095408,-87.63070323,"(41.830954079, -87.630703226)",26,14924,35,376,48,40,23,170
HT292599,5/12/2011 17:12,001XX W 35TH ST,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,CTA PLATFORM,TRUE,FALSE,924,11,11,1175739,1881773,2011,41.83095408,-87.63070323,"(41.830954079, -87.630703226)",26,14924,35,376,48,40,23,170
HT292986,5/12/2011 21:15,008XX N STATE ST,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,CTA PLATFORM,TRUE,FALSE,1832,42,11,1176223,1905805,2011,41.89688859,-87.62820319,"(41.896888586, -87.628203192)",22,21182,37,104,36,6,14,71
HT294229,5/13/2011 15:45,0000X E ROOSEVELT RD,460,BATTERY,SIMPLE,CTA PLATFORM,TRUE,FALSE,132,2,08B,1176818,1895074,2011,41.86742869,-87.62634257,"(41.867428687, -87.626342565)",48,14913,38,374,10,35,22,144
HT294377,5/13/2011 17:00,001XX W 35TH ST,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,CTA PLATFORM,TRUE,FALSE,924,11,11,1175739,1881773,2011,41.83095408,-87.63070323,"(41.830954079, -87.630703226)",26,14924,35,376,48,40,23,170
HT294387,5/13/2011 17:30,001XX W 35TH ST,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,CTA PLATFORM,FALSE,FALSE,924,11,11,1175739,1881773,2011,41.83095408,-87.63070323,"(41.830954079, -87.630703226)",26,14924,35,376,48,40,23,170
HT294599,5/13/2011 19:40,008XX N STATE ST,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,CTA PLATFORM,TRUE,FALSE,1832,42,11,1176223,1905805,2011,41.89688859,-87.62820319,"(41.896888586, -87.628203192)",22,21182,37,104,36,6,14,71
HT294718,5/13/2011 20:41,008XX N STATE ST,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,CTA PLATFORM,TRUE,FALSE,1832,42,11,1176223,1905805,2011,41.89688859,-87.62820319,"(41.896888586, -87.628203192)",22,21182,37,104,36,6,14,71
HT294231,5/12/2011 13:10,034XX S ARCHER AVE,560,ASSAULT,SIMPLE,CTA PLATFORM,FALSE,FALSE,913,11,08A,1163417,1881857,2011,41.83145225,-87.67591098,"(41.831452247, -87.675910981)",26,14920,56,2,1,43,23,165
HT296198,5/14/2011 20:20,008XX N STATE ST,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,CTA PLATFORM,TRUE,FALSE,1832,42,11,1176223,1905805,2011,41.89688859,-87.62820319,"(41.896888586, -87.628203192)",22,21182,37,104,36,6,14,71
HT296234,5/14/2011 20:30,008XX S STATE ST,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,CTA PLATFORM,FALSE,FALSE,132,2,11,1176486,1896551,2011,41.87148916,-87.62751679,"(41.871489164, -87.627516791)",48,14913,38,12,10,35,22,144
HT296182,5/14/2011 19:56,008XX N STATE ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,CTA PLATFORM,TRUE,FALSE,1832,42,18,1176223,1905805,2011,41.89688859,-87.62820319,"(41.896888586, -87.628203192)",22,21182,37,104,36,6,14,71
HT296372,4/30/2011 19:08,008XX N STATE ST,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,CTA PLATFORM,TRUE,FALSE,1832,42,11,1176223,1905805,2011,41.89688859,-87.62820319,"(41.896888586, -87.628203192)",22,21182,37,104,36,6,14,71
HT298053,5/16/2011 7:59,049XX N MILWAUKEE AVE,1570,SEX OFFENSE,PUBLIC INDECENCY,CTA PLATFORM,TRUE,FALSE,1623,45,17,1139431,1932207,2011,41.97008868,-87.76269009,"(41.97008868, -87.762690091)",20,21869,11,129,50,48,12,58
HT287028,5/9/2011 12:11,040XX W LAKE ST,2024,NARCOTICS,POSS: HEROIN(WHITE),CTA PLATFORM,TRUE,FALSE,1114,28,18,1149512,1901446,2011,41.88548754,-87.72642205,"(41.885487535, -87.726422045)",11,21572,27,659,23,30,16,83
HT299548,5/17/2011 1:20,011XX W ARGYLE ST,320,ROBBERY,STRONGARM - NO WEAPON,CTA PLATFORM,FALSE,FALSE,2033,48,3,1167773,1933570,2011,41.97326348,-87.65843572,"(41.973263481, -87.658435722)",40,22616,31,634,16,15,2,36
HT300292,5/14/2011 7:30,095XX S STATE ST,460,BATTERY,SIMPLE,CTA PLATFORM,FALSE,FALSE,511,21,08B,1177973,1841788,2011,41.72118063,-87.62371719,"(41.721180629, -87.623717187)",31,21546,45,567,43,19,10,250
HT300505,5/17/2011 16:40,001XX W 35TH ST,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,CTA PLATFORM,TRUE,FALSE,924,11,11,1175739,1881773,2011,41.83095408,-87.63070323,"(41.830954079, -87.630703226)",26,14924,35,376,48,40,23,170
