,Station_Name,Station_ID,Station_Name_old,ADA,Red,Blue,Green,Brown,Purple,Purple_Express,Yellow,Pink,Orange,Historical_Wards_2003-2015,Zip_Codes,Community_Areas,Census_Tracts,Wards
257,Roosevelt,41400,Roosevelt,True,True,False,False,False,False,False,False,False,False,48.0,14913,34.0,374.0,9.0
258,Rosemont,40820,Rosemont,True,False,True,False,False,False,False,False,False,False,,16197,,,
259,Rosemont,40820,Rosemont,True,False,True,False,False,False,False,False,False,False,,16197,,,
260,Sedgwick,40800,Sedgwick,True,False,False,False,True,False,True,False,False,False,51.0,14926,37.0,309.0,11.0
261,Sedgwick,40800,Sedgwick,True,False,False,False,True,False,True,False,False,False,51.0,14926,37.0,309.0,11.0
262,Sheridan,40080,Sheridan,False,True,False,False,False,False,False,False,False,False,38.0,21186,57.0,83.0,39.0
263,Sheridan,40080,Sheridan,False,True,False,False,False,False,False,False,False,False,38.0,21186,57.0,83.0,39.0
264,Sheridan,40080,Sheridan,False,False,False,False,False,False,False,False,False,False,38.0,21186,57.0,83.0,39.0
265,Sheridan,40080,Sheridan,False,False,False,False,False,False,False,False,False,False,38.0,21186,57.0,83.0,39.0
266,South Boulevard,40840,South Boulevard,False,False,False,False,False,True,True,False,False,False,,26609,,,
267,South Boulevard,40840,South Boulevard,False,False,False,False,False,True,True,False,False,False,,26609,,,
268,Southport,40360,Southport,True,False,False,False,True,False,False,False,False,False,38.0,4449,57.0,729.0,25.0
269,Southport,40360,Southport,True,False,False,False,True,False,False,False,False,False,38.0,4449,57.0,729.0,25.0
270,Sox-35th-Dan Ryan,40190,Sox-35th,True,True,False,False,False,False,False,False,False,False,26.0,21194,35.0,376.0,48.0
271,Sox-35th-Dan Ryan,40190,Sox-35th,True,True,False,False,False,False,False,False,False,False,26.0,21194,35.0,376.0,48.0
272,State-Lake,40260,State-Lake,False,False,False,True,False,False,True,False,True,True,22.0,14309,38.0,580.0,36.0
273,State-Lake,40260,State-Lake,False,False,False,True,True,False,False,False,False,False,22.0,14309,38.0,580.0,36.0
274,Thorndale,40880,Thorndale,False,True,False,False,False,False,False,False,False,False,40.0,4451,76.0,213.0,16.0
275,Thorndale,40880,Thorndale,False,True,False,False,False,False,False,False,False,False,40.0,4451,76.0,213.0,16.0
276,UIC-Halsted,40350,UIC-Halsted,True,False,True,False,False,False,False,False,False,False,48.0,14917,29.0,97.0,26.0
277,UIC-Halsted,40350,UIC-Halsted,True,False,True,False,False,False,False,False,False,False,48.0,14917,29.0,97.0,26.0
278,Washington-Dearborn,40370,Washington,False,False,True,False,False,False,False,False,False,False,22.0,14310,38.0,92.0,36.0
279,Washington-Dearborn,40370,Washington,False,False,True,False,False,False,False,False,False,False,22.0,14310,38.0,92.0,36.0
280,Washington-Wabash,41700,Washington-Wabash,True,False,False,True,False,False,True,False,True,True,22.0,14310,38.0,580.0,36.0
281,Washington-Wabash,41700,Washington-Wabash,True,False,False,True,True,False,False,False,False,False,22.0,14310,38.0,580.0,36.0
282,Washington-Wells,40730,Washington-Wells,True,False,False,False,False,False,True,False,True,True,22.0,14310,38.0,92.0,36.0
283,Washington-Wells,40730,Washington-Wells,True,False,False,False,True,False,False,False,False,False,22.0,14310,38.0,92.0,36.0
284,Wellington,41210,Wellington,True,False,False,False,True,False,True,False,False,False,38.0,4449,57.0,681.0,25.0
285,Wellington,41210,Wellington,True,False,False,False,True,False,True,False,False,False,38.0,4449,57.0,681.0,25.0
286,Western-Brown,41480,Western,True,False,False,False,True,False,False,False,False,False,13.0,21849,6.0,665.0,18.0
287,Western-Brown,41480,Western,True,False,False,False,True,False,False,False,False,False,13.0,21849,6.0,665.0,18.0
288,Western-Cermak,40740,Western,True,False,False,False,False,False,False,False,True,False,8.0,14920,33.0,4.0,26.0
289,Western-Cermak,40740,Western,True,False,False,False,False,False,False,False,True,False,8.0,14920,33.0,4.0,26.0
290,Western-Forest Park,40220,Western,False,False,True,False,False,False,False,False,False,False,48.0,21184,29.0,756.0,23.0
291,Western-Forest Park,40220,Western,False,False,True,False,False,False,False,False,False,False,48.0,21184,29.0,756.0,23.0
292,Western-Milwaukee,40670,Western,True,False,True,False,False,False,False,False,False,False,24.0,22535,23.0,373.0,40.0
293,Western-Milwaukee,40670,Western,True,False,True,False,False,False,False,False,False,False,24.0,22535,23.0,373.0,40.0
294,Western-Orange,40310,Western,True,False,False,False,False,False,False,False,False,True,19.0,14924,61.0,775.0,3.0
295,Western-Orange,40310,Western,True,False,False,False,False,False,False,False,False,True,19.0,14924,61.0,775.0,3.0
296,Wilson,40540,Wilson,True,True,False,False,False,False,False,False,False,False,37.0,22616,31.0,241.0,39.0
297,Wilson,40540,Wilson,True,True,False,False,False,False,False,False,False,False,37.0,22616,31.0,241.0,39.0
298,Wilson,40540,Wilson,True,False,False,False,False,False,True,False,False,False,37.0,22616,31.0,241.0,39.0
299,Wilson,40540,Wilson,True,False,False,False,False,False,True,False,False,False,37.0,22616,31.0,241.0,39.0
